Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=49, tm_sec=7, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=54, tm_sec=39, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=55, tm_sec=2, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=55, tm_sec=17, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=55, tm_sec=33, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=55, tm_sec=48, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=56, tm_sec=4, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=56, tm_sec=19, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=56, tm_sec=35, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=56, tm_sec=50, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=57, tm_sec=6, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=57, tm_sec=21, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=57, tm_sec=37, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=57, tm_sec=52, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=58, tm_sec=8, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=58, tm_sec=23, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
Logging at (time.struct_time(tm_year=2022, tm_mon=1, tm_mday=24, tm_hour=1, tm_min=58, tm_sec=38, tm_wday=0, tm_yday=24, tm_isdst=0)) Callan 👑  -678 callan m
